Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,3,18,30,0,0,0,0,0,0,1,19.532061485434156,957.36328125,29.87813753953083,97.35701051298717,1.4426168844129545,0.0,46.963035583496094,1.056429386138916,0
2012,1,3,19,30,0,0,0,0,0,0,1,18.564537216599206,957.5606079101562,32.27523804577858,110.22566768044452,1.4487432959186215,0.0,57.10881042480469,1.2158156633377075,0
2012,1,3,20,30,0,0,0,0,0,0,2,17.70172887698112,957.8609008789062,36.710703884194764,123.4273645864682,1.4473592497656258,0.0,70.8125228881836,1.3185255527496338,0
2012,1,3,21,30,0,0,0,0,0,0,3,16.87773009892925,957.9534301757812,41.693752287655315,136.84939524680127,1.4401175192016955,0.0,82.7896728515625,1.408709168434143,0
2012,1,3,22,30,0,0,0,0,0,0,3,16.04750649975324,957.4957885742188,44.232828248590444,150.4102463422126,1.4292322087652225,0.0,93.55095672607422,1.4613664150238037,0
2012,1,3,23,30,0,0,0,0,0,0,4,15.30831016596511,956.828125,47.32095794606647,164.03144464621113,1.4144789623539828,0.0,100.83866882324219,1.4303950071334839,0
2012,1,4,0,30,0,0,0,0,0,0,4,14.685031477213158,956.8535766601562,51.1791938391599,177.17913507578197,1.4041623281373208,0.0,105.48638153076172,1.2740609645843506,0
2012,1,4,1,30,0,0,0,0,0,0,5,14.140527455179893,956.6527709960938,54.480002631882925,168.2819763424165,1.3976635659609364,0.0,107.68095397949219,0.9911507964134216,0
2012,1,4,2,30,0,0,0,0,0,0,5,13.700092958806408,956.682861328125,58.650395589759476,154.66970922680102,1.3950404631559328,0.0,97.58171844482422,0.6309476494789124,0
2012,1,4,3,30,0,0,0,0,0,0,6,13.334568123663189,956.6361694335938,62.76407132782599,141.07820644663838,1.3971899063703594,0.0,66.02301788330078,0.41858863830566406,0
